total_price	total_flight_hours	total_layover_hours	total_num_stops	departure_datetime	returning_datetime	start_city	end_city	stopover_cities	formatted_string
117.0	13.55	2.8333333333333335	1	2026-02-17T19:50:00	2026-02-19T12:10:00	Vancouver	Vancouver	['Toronto']	"2026-02-17 19:50:00 - 2026-02-19 12:10:00 | $117.0 | 13 hr 33 min

Vancouver | START

[FLIGHT 1]: $54.0 | 8 hr 8 min | 1 stop | ONE_WAY
[LEG 1]: 2026-02-17 19:50:00 - 2026-02-17 20:50:00 | YVR-YLW | 1 hr | WS 3466 | WestJet
[LAYOVER]: 2 hr 50 min
[LEG 2]: 2026-02-17 23:40:00 - 2026-02-18 06:58:00 | YLW-YYZ | 4 hr 18 min | WS 770 | WestJet

Toronto | 1 day 2 hr 47 min

[FLIGHT 2]: $63.0 | 5 hr 25 min | 0 stops | ONE_WAY
[LEG 1]: 2026-02-19 09:45:00 - 2026-02-19 12:10:00 | YYZ-YVR | 5 hr 25 min | F8 609 | Flair Airlines

Vancouver | END"
117.0	13.55	2.8333333333333335	1	2026-02-17T19:50:00	2026-02-19T10:20:00	Vancouver	Vancouver	['Toronto']	"2026-02-17 19:50:00 - 2026-02-19 10:20:00 | $117.0 | 13 hr 33 min

Vancouver | START

[FLIGHT 1]: $54.0 | 8 hr 8 min | 1 stop | ONE_WAY
[LEG 1]: 2026-02-17 19:50:00 - 2026-02-17 20:50:00 | YVR-YLW | 1 hr | WS 3466 | WestJet
[LAYOVER]: 2 hr 50 min
[LEG 2]: 2026-02-17 23:40:00 - 2026-02-18 06:58:00 | YLW-YYZ | 4 hr 18 min | WS 770 | WestJet

Toronto | 1 day 57 min

[FLIGHT 2]: $63.0 | 5 hr 25 min | 0 stops | ONE_WAY
[LEG 1]: 2026-02-19 07:55:00 - 2026-02-19 10:20:00 | YYZ-YVR | 5 hr 25 min | F8 601 | Flair Airlines

Vancouver | END"
117.0	13.55	2.8333333333333335	1	2026-02-17T19:50:00	2026-02-19T23:25:00	Vancouver	Vancouver	['Toronto']	"2026-02-17 19:50:00 - 2026-02-19 23:25:00 | $117.0 | 13 hr 33 min

Vancouver | START

[FLIGHT 1]: $54.0 | 8 hr 8 min | 1 stop | ONE_WAY
[LEG 1]: 2026-02-17 19:50:00 - 2026-02-17 20:50:00 | YVR-YLW | 1 hr | WS 3466 | WestJet
[LAYOVER]: 2 hr 50 min
[LEG 2]: 2026-02-17 23:40:00 - 2026-02-18 06:58:00 | YLW-YYZ | 4 hr 18 min | WS 770 | WestJet

Toronto | 1 day 14 hr 2 min

[FLIGHT 2]: $63.0 | 5 hr 25 min | 0 stops | ONE_WAY
[LEG 1]: 2026-02-19 21:00:00 - 2026-02-19 23:25:00 | YYZ-YVR | 5 hr 25 min | F8 613 | Flair Airlines

Vancouver | END"
120.0	10.083333333333334	0.0	0	2026-02-17T00:10:00	2026-02-19T10:20:00	Vancouver	Vancouver	['Toronto']	"2026-02-17 00:10:00 - 2026-02-19 10:20:00 | $120.0 | 10 hr 5 min

Vancouver | START

[FLIGHT 1]: $0.0 | 4 hr 40 min | 0 stops | ROUND_TRIP_DEPARTING
[LEG 1]: 2026-02-17 00:10:00 - 2026-02-17 07:50:00 | YVR-YYZ | 4 hr 40 min | F8 612 | Flair Airlines

Toronto | 2 days 5 min

[FLIGHT 1]: $120.0 | 5 hr 25 min | 0 stops | ROUND_TRIP_RETURNING
[LEG 1]: 2026-02-19 07:55:00 - 2026-02-19 10:20:00 | YYZ-YVR | 5 hr 25 min | F8 601 | Flair Airlines

Vancouver | END"
120.0	10.083333333333334	0.0	0	2026-02-17T00:10:00	2026-02-19T12:10:00	Vancouver	Vancouver	['Toronto']	"2026-02-17 00:10:00 - 2026-02-19 12:10:00 | $120.0 | 10 hr 5 min

Vancouver | START

[FLIGHT 1]: $0.0 | 4 hr 40 min | 0 stops | ROUND_TRIP_DEPARTING
[LEG 1]: 2026-02-17 00:10:00 - 2026-02-17 07:50:00 | YVR-YYZ | 4 hr 40 min | F8 612 | Flair Airlines

Toronto | 2 days 1 hr 55 min

[FLIGHT 1]: $120.0 | 5 hr 25 min | 0 stops | ROUND_TRIP_RETURNING
[LEG 1]: 2026-02-19 09:45:00 - 2026-02-19 12:10:00 | YYZ-YVR | 5 hr 25 min | F8 609 | Flair Airlines

Vancouver | END"
120.0	10.083333333333334	0.0	0	2026-02-17T00:10:00	2026-02-19T23:25:00	Vancouver	Vancouver	['Toronto']	"2026-02-17 00:10:00 - 2026-02-19 23:25:00 | $120.0 | 10 hr 5 min

Vancouver | START

[FLIGHT 1]: $0.0 | 4 hr 40 min | 0 stops | ROUND_TRIP_DEPARTING
[LEG 1]: 2026-02-17 00:10:00 - 2026-02-17 07:50:00 | YVR-YYZ | 4 hr 40 min | F8 612 | Flair Airlines

Toronto | 2 days 13 hr 10 min

[FLIGHT 1]: $120.0 | 5 hr 25 min | 0 stops | ROUND_TRIP_RETURNING
[LEG 1]: 2026-02-19 21:00:00 - 2026-02-19 23:25:00 | YYZ-YVR | 5 hr 25 min | F8 613 | Flair Airlines

Vancouver | END"
120.0	13.516666666666667	2.8333333333333335	1	2026-02-17T19:50:00	2026-02-19T21:08:00	Vancouver	Vancouver	['Toronto']	"2026-02-17 19:50:00 - 2026-02-19 21:08:00 | $120.0 | 13 hr 31 min

Vancouver | START

[FLIGHT 1]: $0.0 | 8 hr 8 min | 1 stop | ROUND_TRIP_DEPARTING
[LEG 1]: 2026-02-17 19:50:00 - 2026-02-17 20:50:00 | YVR-YLW | 1 hr | WS 3466 | WestJet
[LAYOVER]: 2 hr 50 min
[LEG 2]: 2026-02-17 23:40:00 - 2026-02-18 06:58:00 | YLW-YYZ | 4 hr 18 min | WS 770 | WestJet

Toronto | 1 day 11 hr 47 min

[FLIGHT 1]: $120.0 | 5 hr 23 min | 0 stops | ROUND_TRIP_RETURNING
[LEG 1]: 2026-02-19 18:45:00 - 2026-02-19 21:08:00 | YYZ-YVR | 5 hr 23 min | WS 719 | WestJet

Vancouver | END"
120.0	13.516666666666667	2.8333333333333335	1	2026-02-17T19:50:00	2026-02-20T00:38:00	Vancouver	Vancouver	['Toronto']	"2026-02-17 19:50:00 - 2026-02-20 00:38:00 | $120.0 | 13 hr 31 min

Vancouver | START

[FLIGHT 1]: $0.0 | 8 hr 8 min | 1 stop | ROUND_TRIP_DEPARTING
[LEG 1]: 2026-02-17 19:50:00 - 2026-02-17 20:50:00 | YVR-YLW | 1 hr | WS 3466 | WestJet
[LAYOVER]: 2 hr 50 min
[LEG 2]: 2026-02-17 23:40:00 - 2026-02-18 06:58:00 | YLW-YYZ | 4 hr 18 min | WS 770 | WestJet

Toronto | 1 day 15 hr 17 min

[FLIGHT 1]: $120.0 | 5 hr 23 min | 0 stops | ROUND_TRIP_RETURNING
[LEG 1]: 2026-02-19 22:15:00 - 2026-02-20 00:38:00 | YYZ-YVR | 5 hr 23 min | WS 737 | WestJet

Vancouver | END"
120.0	13.583333333333334	2.8333333333333335	1	2026-02-17T19:50:00	2026-02-19T12:57:00	Vancouver	Vancouver	['Toronto']	"2026-02-17 19:50:00 - 2026-02-19 12:57:00 | $120.0 | 13 hr 35 min

Vancouver | START

[FLIGHT 1]: $0.0 | 8 hr 8 min | 1 stop | ROUND_TRIP_DEPARTING
[LEG 1]: 2026-02-17 19:50:00 - 2026-02-17 20:50:00 | YVR-YLW | 1 hr | WS 3466 | WestJet
[LAYOVER]: 2 hr 50 min
[LEG 2]: 2026-02-17 23:40:00 - 2026-02-18 06:58:00 | YLW-YYZ | 4 hr 18 min | WS 770 | WestJet

Toronto | 1 day 3 hr 32 min

[FLIGHT 1]: $120.0 | 5 hr 27 min | 0 stops | ROUND_TRIP_RETURNING
[LEG 1]: 2026-02-19 10:30:00 - 2026-02-19 12:57:00 | YYZ-YVR | 5 hr 27 min | WS 711 | WestJet

Vancouver | END"
120.0	13.583333333333334	2.8333333333333335	1	2026-02-17T19:50:00	2026-02-19T08:57:00	Vancouver	Vancouver	['Toronto']	"2026-02-17 19:50:00 - 2026-02-19 08:57:00 | $120.0 | 13 hr 35 min

Vancouver | START

[FLIGHT 1]: $0.0 | 8 hr 8 min | 1 stop | ROUND_TRIP_DEPARTING
[LEG 1]: 2026-02-17 19:50:00 - 2026-02-17 20:50:00 | YVR-YLW | 1 hr | WS 3466 | WestJet
[LAYOVER]: 2 hr 50 min
[LEG 2]: 2026-02-17 23:40:00 - 2026-02-18 06:58:00 | YLW-YYZ | 4 hr 18 min | WS 770 | WestJet

Toronto | 23 hr 32 min

[FLIGHT 1]: $120.0 | 5 hr 27 min | 0 stops | ROUND_TRIP_RETURNING
[LEG 1]: 2026-02-19 06:30:00 - 2026-02-19 08:57:00 | YYZ-YVR | 5 hr 27 min | WS 705 | WestJet

Vancouver | END"
